2021-03-02_15:09:01,SabarKantha,172,88,0,59,0,24,0,3,0,2,0,Taluka Panchayat
2021-03-02_15:09:01,Surat,184,108,8,95,8,11,0,2,0,0,0,Taluka Panchayat
2021-03-02_15:09:01,Surendranagar,182,123,18,86,17,30,0,5,0,2,1,Taluka Panchayat
2021-03-02_15:09:01,Tapi,124,89,3,40,2,49,1,0,0,0,0,Taluka Panchayat
2021-03-02_15:09:01,TheDangs,48,27,1,23,1,4,0,0,0,0,0,Taluka Panchayat
2021-03-02_15:09:01,Vadodara,168,67,1,52,1,12,0,3,0,0,0,Taluka Panchayat
2021-03-02_15:09:01,Valsad,158,75,6,64,6,9,0,2,0,0,0,Taluka Panchayat
2021-03-02_15:09:01,Ahmadabad,96,86,3,57,3,10,0,15,0,4,0,Nagarpalika
2021-03-02_15:09:01,Amreli,156,140,0,113,0,27,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Anand,212,156,3,91,2,48,0,12,1,5,0,Nagarpalika
2021-03-02_15:09:01,Arvalli,60,0,0,0,0,0,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,BanasKantha,112,105,0,75,0,14,0,15,0,1,0,Nagarpalika
2021-03-02_15:09:01,Bharuch,132,56,1,36,1,14,0,6,0,0,0,Nagarpalika
2021-03-02_15:09:01,Bhavnagar,96,53,0,39,0,12,0,0,0,2,0,Nagarpalika
2021-03-02_15:09:01,Botad,68,40,0,37,0,3,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,DevbhumiDwarka,52,25,0,23,0,1,0,0,0,1,0,Nagarpalika
2021-03-02_15:09:01,Dohad,36,18,1,12,1,5,0,1,0,0,0,Nagarpalika
2021-03-02_15:09:01,Gandhinagar,72,72,0,56,0,15,0,0,0,1,0,Nagarpalika
2021-03-02_15:09:01,GirSomnath,128,106,22,87,20,15,2,3,0,1,0,Nagarpalika
2021-03-02_15:09:01,Jamnagar,28,0,0,0,0,0,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Junagadh,36,0,1,0,1,0,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Kachchh,196,162,6,140,6,22,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Kheda,152,103,3,59,3,13,0,22,0,9,0,Nagarpalika
2021-03-02_15:09:01,Mahesana,152,68,28,43,28,8,0,17,0,0,0,Nagarpalika
2021-03-02_15:09:01,Morbi,104,76,0,52,0,24,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Narmada,28,28,0,16,0,6,0,6,0,0,0,Nagarpalika
2021-03-02_15:09:01,Navsari,76,51,0,50,0,1,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,PanchMahals,68,22,2,18,2,0,0,4,0,0,0,Nagarpalika
2021-03-02_15:09:01,Patan,80,60,0,52,0,4,0,4,0,0,0,Nagarpalika
2021-03-02_15:09:01,Porbandar,52,52,0,45,0,7,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Rajkot,44,39,5,39,5,0,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,SabarKantha,60,31,5,27,5,4,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Surat,116,106,0,100,0,4,0,2,0,0,0,Nagarpalika
2021-03-02_15:09:01,Surendranagar,164,124,9,119,9,4,0,0,0,1,0,Nagarpalika
2021-03-02_15:09:01,Tapi,28,23,0,17,0,6,0,0,0,0,0,Nagarpalika
2021-03-02_15:09:01,Vadodara,88,71,5,41,5,21,0,4,0,5,0,Nagarpalika
2021-03-02_15:09:01,Valsad,28,0,1,0,1,0,0,0,0,0,0,Nagarpalika
